Dataset,MSE,RMSE,MAE,R2
Train,0.0009186383409968947,0.030309047180617454,0.020974262621558586,0.9782337322993909
Validation,0.0010485469251045058,0.03238127429710736,0.02203216218366797,0.9759963021278689
Test,0.001133509514800096,0.033667633044217646,0.021743758611209824,0.9741292009360585
